Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,anogenital sniffing,,,STATE,825.133,825.533,0.400,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,828.133,829.067,0.934,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,830.067,831.533,1.466,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,830.267,832.200,1.933,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,831.933,832.067,0.134,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,834.067,840.599,6.532,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,840.600,841.599,0.999,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,841.600,842.599,0.999,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,842.600,843.600,1.000,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,844.600,845.400,0.800,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,845.067,846.000,0.933,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,846.867,847.399,0.532,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,847.400,847.733,0.333,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,anogenital sniffing,,,STATE,872.200,872.333,0.133,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,873.000,873.267,0.267,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,873.800,876.467,2.667,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,fighting,,,STATE,876.600,877.467,0.867,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,878.067,878.333,0.266,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,879.400,879.733,0.333,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,879.400,879.733,0.333,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,880.667,881.732,1.065,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,881.733,884.666,2.933,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,fighting,,,STATE,884.667,886.067,1.400,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,887.200,887.466,0.266,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,fighting,,,STATE,887.467,890.599,3.132,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,892.267,892.533,0.266,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,mice taken out,,,POINT,899.933,899.933,NA,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,mice back in,,,POINT,962.800,962.800,NA,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,964.000,965.200,1.200,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,964.200,965.000,0.800,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,965.800,968.733,2.933,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,990.200,991.200,1.000,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,990.267,990.467,0.200,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,991.733,994.600,2.867,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,995.067,995.933,0.866,,
